Source,Target,Weight
Vietnam,Singapore,7
Martinique,Cameroon,1
Haiti,Martinique,7
Serbia,Hungary,3
Mauritius,Eswatini,2
Tunisia,Bosnia and Herzegovina,1
Qatar,Iran,4
Japan,Kazakhstan,2
Germany,South Africa,3
Estonia,Philippines,1
Australia,Mexico,2
Uruguay,United Arab Emirates,1
Uruguay,Czech Republic,2
United Arab Emirates,South Africa,1
Saudi Arabia,Australia,2
Czech Republic,United Arab Emirates,1
Uruguay,South Africa,2
Brazil,Czech Republic,2
Australia,Uruguay,3
Czech Republic,Uruguay,1
Togo,Algeria,2
Basque Country,Yugoslavia,1
Burkina Faso,Mozambique,3
Mozambique,Togo,1
Morocco,Angola,4
Zambia,Gambia,1
Namibia,South Africa,1
Nigeria,Iran,1
Italy,Slovakia,1
Serbia,Tunisia,2
Niger,Namibia,2
Burkina Faso,Namibia,3
Trinidad and Tobago,Honduras,3
Chile,Australia,3
Cameroon,Burkina Faso,5
Ivory Coast,Namibia,3
Paraguay,Poland,1
Cyprus,Slovenia,3
Slovakia,Finland,3
United States,Brazil,1
Burkina Faso,Algeria,6
Chile,England,2
Morocco,Mozambique,2
Brazil,Jamaica,2
South Africa,Namibia,8
Germany,Oman,2
Netherlands,United States,5
South Africa,Morocco,4
Germany,Saudi Arabia,3
Netherlands,Mexico,4
Egypt,Burkina Faso,3
Barbados,Saint Kitts and Nevis,4
Aruba,French Guiana,1
Saint Lucia,Saint Kitts and Nevis,3
Saint Vincent and the Grenadines,Saint Kitts and Nevis,5
Curaçao,French Guiana,1
Angola,Eswatini,5
Azerbaijan,Moldova,3
United States Virgin Islands,British Virgin Islands,3
North Macedonia,Bulgaria,2
Northern Ireland,Slovakia,1
Poland,Slovenia,3
Guadeloupe,British Virgin Islands,1
Grenada,Anguilla,1
Israel,Argentina,1
Antigua and Barbuda,Grenada,2
Guyana,Anguilla,1
Zimbabwe,Namibia,4
North Macedonia,Jamaica,1
United States,Austria,1
Bulgaria,Morocco,1
Germany,Nigeria,1
Iran,Jamaica,2
Czech Republic,Slovenia,3
Azerbaijan,Uzbekistan,4
Chile,Lithuania,1
Cuba,Bermuda,4
Mexico,Estonia,1
Cayman Islands,Bermuda,1
Argentina,Bosnia and Herzegovina,3
Cameroon,Corsica,1
South Korea,Jamaica,2
Israel,Latvia,6
Saudi Arabia,Namibia,2
Canada,North Macedonia,1
Czech Republic,Paraguay,1
United States,Kuwait,1
Argentina,South Africa,1
Hungary,Lithuania,5
England,Morocco,1
Norway,Saudi Arabia,1
Saint Kitts and Nevis,Trinidad and Tobago,2
Serbia,Nigeria,2
Germany,Colombia,2
Chile,Tunisia,1
Cameroon,Luxembourg,1
Netherlands,Paraguay,1
Brazil,Andorra,1
Belgium,Colombia,1
Croatia,Iran,1
Romania,Paraguay,1
Serbia,Japan,4
Estonia,Faroe Islands,4
Cameroon,Denmark,1
Netherlands,Nigeria,1
Belgium,Paraguay,1
Croatia,Australia,2
Tunisia,Wales,1
Belarus,Lithuania,5
Nigeria,Spain,1
Croatia,Jamaica,1
Serbia,Iran,1
England,Tunisia,2
Italy,Cameroon,1
France,Saudi Arabia,1
Croatia,Japan,1
Netherlands,South Korea,2
Argentina,Jamaica,4
Iran,United States,1
Colombia,Tunisia,1
Morocco,Scotland,1
Paraguay,Nigeria,1
Germany,Iran,2
Serbia,United States,2
Argentina,Croatia,3
Azerbaijan,Lithuania,1
Jamaica,Japan,1
Denmark,Nigeria,1
Lithuania,Andorra,2
Netherlands,Serbia,3
Croatia,Germany,2
Rwanda,Tanzania,8
France,Croatia,6
Croatia,Netherlands,2
Poland,Ukraine,4
Lebanon,Palestine,1
Jordan,Lebanon,8
Antigua and Barbuda,Martinique,2
Cayman Islands,Curaçao,1
Niger,Ivory Coast,1
Trinidad and Tobago,Dominica,1
Guam,Northern Mariana Islands,9
Guam,Palau,1
Benin,Angola,2
Burundi,Tanzania,8
Niger,Liberia,2
Togo,São Tomé and Príncipe,2
Northern Mariana Islands,Guam,1
Thailand,Uzbekistan,6
Angola,Benin,2
Armenia,Lebanon,1
Bosnia and Herzegovina,Faroe Islands,1
Cyprus,Albania,2
Czech Republic,Denmark,3
Hungary,Slovenia,1
Iceland,Latvia,2
Portugal,Mozambique,2
Ukraine,Georgia,6
Moldova,Estonia,1
Cook Islands,Samoa,2
Cook Islands,American Samoa,1
Vietnam,Thailand,2
Armenia,Andorra,7
Cyprus,Spain,1
Finland,Moldova,2
Republic of Ireland,Croatia,2
Ukraine,Russia,1
Latvia,Norway,1
Ghana,Eswatini,3
Benin,Togo,3
Samoa,Tonga,5
Saudi Arabia,Tanzania,1
Saudi Arabia,Sudan,1
United Arab Emirates,Libya,1
Saudi Arabia,Senegal,2
Oman,Zambia,1
Qatar,Libya,2
Jordan,Libya,3
Saudi Arabia,Lebanon,6
United Arab Emirates,Sudan,2
Australia,Cook Islands,2
Sudan,Bahrain,1
Congo,Namibia,3
Mozambique,Eritrea,1
Ukraine,Andorra,4
Czech Republic,Bosnia and Herzegovina,2
Latvia,Georgia,3
Slovakia,Liechtenstein,9
Croatia,Malta,9
Israel,San Marino,2
Norway,Slovenia,6
Croatia,North Macedonia,5
Czech Republic,Estonia,5
France,Andorra,5
Iceland,Russia,1
Spain,Israel,5
Liechtenstein,Azerbaijan,1
Lithuania,Bosnia and Herzegovina,1
Austria,San Marino,2
Portugal,Slovakia,5
Slovenia,Latvia,4
Wales,Belarus,6
Oman,Burkina Faso,1
Bahrain,Burkina Faso,2
Japan,Egypt,2
Tunisia,Latvia,1
England,Czech Republic,3
Georgia,Estonia,4
Cyprus,San Marino,6
Serbia,Republic of Ireland,4
Uzbekistan,India,5
Armenia,Estonia,2
Kernow,Guernsey,1
Thailand,Nepal,3
Azerbaijan,Estonia,2
China PR,Lebanon,4
Oman,Hong Kong,1
Tajikistan,Maldives,2
Kuwait,Mongolia,1
Iran,Kazakhstan,2
Turkmenistan,South Korea,1
Qatar,Tajikistan,4
Kazakhstan,Laos,1
Lebanon,Cambodia,1
India,Nepal,11
Qatar,Maldives,3
Uzbekistan,Mongolia,2
Iran,Laos,3
Saint Vincent and the Grenadines,British Virgin Islands,2
Turkmenistan,India,3
Uzbekistan,North Korea,7
Oman,Iran,2
Qatar,Lebanon,9
Japan,Kuwait,1
China PR,Oman,4
Thailand,Lebanon,4
Qatar,Thailand,5
Burundi,Senegal,1
Iran,Uzbekistan,10
Basque Country,Uruguay,2
Catalonia,Nigeria,1
Canary Islands,Latvia,1
Israel,Serbia,1
Antigua and Barbuda,Bermuda,3
Israel,Estonia,3
Norway,Israel,1
Liberia,Uganda,2
Malta,Bosnia and Herzegovina,1
British Virgin Islands,Montserrat,2
Cyprus,Finland,1
Switzerland,Slovenia,6
United States,Germany,4
Slovenia,Oman,2
Czech Republic,Belgium,3
Albania,North Macedonia,2
Republic of Ireland,Paraguay,2
Switzerland,Oman,2
Mexico,Egypt,2
Bahamas,Turks and Caicos Islands,6
South Africa,Gabon,3
Mauritius,Angola,2
Burkina Faso,Burundi,5
Madagascar,DR Congo,3
Bulgaria,Slovakia,2
Poland,Armenia,5
Romania,Estonia,3
Bolivia,Guatemala,1
Greece,Croatia,2
Moldova,Malta,3
Guatemala,Bolivia,3
Guadeloupe,Barbados,4
Estonia,Cyprus,2
British Virgin Islands,Puerto Rico,2
Honduras,Belize,7
Haiti,British Virgin Islands,1
Portugal,Azerbaijan,7
Iceland,Andorra,7
Russia,Armenia,4
Switzerland,Belarus,4
Norway,Greece,2
Hungary,Liechtenstein,2
South Korea,Brazil,1
Egypt,Belgium,3
Jamaica,Paraguay,2
Russia,Andorra,6
Spain,San Marino,4
Czech Republic,Scotland,5
Algeria,Liberia,3
Gabon,South Africa,1
Saint Lucia,Martinique,1
Saint Kitts and Nevis,Saint Vincent and the Grenadines,4
Angola,Malawi,4
Nepal,Sri Lanka,5
Maldives,Nepal,7
Morocco,Netherlands,1
Poland,Czech Republic,4
Bermuda,Bahamas,4
Spain,Croatia,5
Trinidad and Tobago,South Africa,1
Bermuda,Cayman Islands,5
Cuba,Bahamas,2
Cayman Islands,Bahamas,2
Eswatini,Mozambique,2
Norway,Jamaica,1
Sweden,Jamaica,1
Chile,Costa Rica,3
El Salvador,Colombia,1
Grenada,Guadeloupe,1
Ecuador,Guatemala,4
Norway,Albania,2
Azerbaijan,Liechtenstein,3
Bosnia and Herzegovina,Lithuania,4
Denmark,Belarus,1
Guam,Micronesia,2
Iceland,Armenia,2
Romania,Hungary,5
Uganda,Liberia,2
Cameroon,Eritrea,1
Ecuador,Canada,2
Haiti,Saint Kitts and Nevis,5
Israel,Austria,3
Slovenia,Albania,4
Latvia,Greece,1
Slovakia,Hungary,4
Eritrea,Mozambique,1
Senegal,Burundi,3
Brazil,Thailand,2
Oman,New Zealand,1
Brazil,Latvia,1
Gotland,Hitra,1
Isle of Wight,Frøya,1
Greenland,Saare County,3
Åland Islands,Gibraltar,1
Gotland,Shetland,1
Isle of Man,Hitra,3
Greenland,Frøya,3
Isle of Wight,Saare County,2
Peru,Japan,2
Frøya,Saare County,2
Hitra,Saare County,1
Rhodes,Greenland,3
Åland Islands,Gotland,1
Gotland,Greenland,3
Isle of Man,Jersey,3
Guernsey,Shetland,3
Rhodes,Åland Islands,1
Isle of Wight,Jersey,2
Saudi Arabia,Canada,1
Micronesia,Northern Mariana Islands,1
Jamaica,Saudi Arabia,2
Egypt,New Zealand,1
Saudi Arabia,Jamaica,3
Senegal,Eritrea,1
United States,New Zealand,2
Rwanda,Djibouti,3
Germany,New Zealand,1
Saudi Arabia,Egypt,2
Rwanda,Uganda,8
Oman,Kyrgyzstan,3
Iraq,Tajikistan,1
Ghana,Jamaica,2
Iraq,Kyrgyzstan,2
Tajikistan,Oman,1
Angola,Zambia,4
Zimbabwe,Eritrea,3
Nigeria,Mozambique,4
Finland,Belgium,4
Estonia,Armenia,2
Greece,El Salvador,2
Norway,Lithuania,2
Portugal,Andorra,6
Uzbekistan,Azerbaijan,2
Republic of Ireland,Serbia,1
Scotland,Bosnia and Herzegovina,2
Croatia,Republic of Ireland,2
Serbia,North Macedonia,4
Lithuania,Faroe Islands,7
Ukraine,Iceland,1
Trinidad and Tobago,Colombia,1
South Africa,Saudi Arabia,1
Albania,Georgia,3
Bosnia and Herzegovina,Estonia,5
Norway,Latvia,2
Scotland,Lithuania,6
Cuba,El Salvador,1
Hong Kong,Mauritius,1
United Arab Emirates,Turkmenistan,2
Iraq,Turkmenistan,2
Chad,São Tomé and Príncipe,1
Chad,Congo,2
Equatorial Guinea,Central African Republic,2
Central African Republic,São Tomé and Príncipe,1
Greece,Nigeria,2
Central African Republic,Congo,1
São Tomé and Príncipe,Equatorial Guinea,1
Peru,Slovakia,1
Libya,Togo,4
Uzbekistan,Bangladesh,3
Slovakia,Guatemala,1
Uzbekistan,Sri Lanka,2
Costa Rica,Slovakia,1
Congo,Burkina Faso,3
South Africa,Sweden,1
Uzbekistan,United Arab Emirates,4
Zimbabwe,Libya,1
Libya,Malawi,1
Rwanda,Malawi,2
Greece,Moldova,6
Honduras,Zambia,1
Libya,Gabon,3
Catalonia,Yugoslavia,1
Andalusia,Estonia,1
Basque Country,Nigeria,1
Mexico,Iran,3
Jamaica,New Zealand,2
Morocco,Trinidad and Tobago,2
Togo,Egypt,1
Malta,Qatar,1
Qatar,Bosnia and Herzegovina,1
China PR,Guam,3
Uganda,Libya,2
Saint Lucia,United States Virgin Islands,3
Algeria,Gabon,1
Philippines,Guam,5
Saint Lucia,British Virgin Islands,5
Armenia,Moldova,1
Guatemala,Chile,1
Albania,Andorra,5
Cyprus,Romania,1
Albania,Azerbaijan,3
Czech Republic,Mexico,1
Albania,Malta,5
Yemen,Nepal,4
Chile,Bulgaria,1
Colombia,Jamaica,4
Kuwait,Bhutan,1
Turkmenistan,Nepal,2
Slovakia,Chile,1
Malaysia,Maldives,4
Turkmenistan,Bhutan,2
Honduras,Colombia,4
Lebanon,North Korea,5
Singapore,Macau,3
Yemen,Bhutan,3
Peru,Honduras,2
Lesotho,Eswatini,11
Guernsey,Kernow,1
Republic of Ireland,Czech Republic,2
Northern Ireland,Luxembourg,3
Wales,Qatar,1
United Arab Emirates,Switzerland,1
Anguilla,British Virgin Islands,1
Thailand,Estonia,1
Botswana,Lesotho,13
Canada,Colombia,1
Bahamas,Anguilla,2
Bolivia,Haiti,2
Bermuda,British Virgin Islands,2
Dominican Republic,Montserrat,3
Saint Lucia,Suriname,1
Saint Vincent and the Grenadines,United States Virgin Islands,2
Honduras,Ecuador,2
Cuba,Nicaragua,4
Aruba,Puerto Rico,1
Haiti,Dominica,2
Bosnia and Herzegovina,Jordan,1
Saint Kitts and Nevis,Turks and Caicos Islands,4
Guatemala,Belize,8
Suriname,Saint Lucia,2
Kazakhstan,Bahrain,1
Serbia,China PR,4
Bosnia and Herzegovina,North Macedonia,1
Bulgaria,Belarus,5
Czech Republic,Australia,1
Kazakhstan,Jordan,1
Qatar,Palestine,9
Barbados,Aruba,5
Bahrain,Maldives,2
Palestine,Pakistan,5
Bahrain,Iran,5
Jordan,Palestine,3
Qatar,Pakistan,1
Thailand,North Korea,4
Myanmar,Mongolia,3
Kazakhstan,Palestine,2
South Korea,Mongolia,1
Zimbabwe,Central African Republic,2
Madagascar,Gabon,1
São Tomé and Príncipe,Sierra Leone,2
Liberia,Chad,2
Ethiopia,Burkina Faso,1
Laos,Mongolia,3
South Africa,Lesotho,6
Libya,Mali,4
Egypt,Mauritius,5
Cameroon,Somalia,2
Algeria,Cape Verde,3
Gabon,Madagascar,3
Namibia,Seychelles,3
Nigeria,Eritrea,1
Sierra Leone,São Tomé and Príncipe,3
Burkina Faso,Ethiopia,3
DR Congo,Djibouti,3
Ivory Coast,Rwanda,6
Andorra,Belarus,1
Croatia,Austria,6
Ukraine,Bulgaria,3
Czech Republic,Israel,4
France,Slovenia,3
Greece,Republic of Ireland,4
Faroe Islands,Liechtenstein,7
Moldova,San Marino,8
Antigua and Barbuda,Saint Vincent and the Grenadines,1
Sri Lanka,Bangladesh,5
Maldives,India,3
Cape Verde,Guinea,2
Jordan,Kyrgyzstan,2
Lebanon,Kyrgyzstan,1
Norway,Slovakia,3
South Africa,Malta,1
England,Ukraine,6
Iran,Jordan,6
Botswana,Mozambique,4
Hungary,Israel,1
Slovenia,Saudi Arabia,1
United States,South Africa,3
Russia,Moldova,2
Morocco,Jamaica,1
Nigeria,Malawi,5
Japan,Jamaica,2
South Korea,North Macedonia,1
Cook Islands,Tonga,3
Iran,North Macedonia,2
Guatemala,Antigua and Barbuda,6
Estonia,Georgia,2
Republic of Ireland,South Africa,2
Netherlands,Czech Republic,3
Gibraltar,Monaco,2
Norway,Spain,1
Burkina Faso,Kenya,1
Australia,Paraguay,2
France,Czech Republic,1
Japan,Bolivia,2
Cameroon,Libya,4
Serbia,Norway,3
Spain,Slovenia,2
South Africa,Eswatini,7
Sudan,Liberia,1
Turkey,Belgium,3
Paraguay,Costa Rica,3
Ecuador,Panama,5
Chad,Libya,1
Burundi,Djibouti,7
Botswana,Madagascar,2
Zimbabwe,Seychelles,6
Benin,Namibia,1
Angola,Equatorial Guinea,2
Ethiopia,Zambia,2
Rwanda,Congo,2
Saint Vincent and the Grenadines,Trinidad and Tobago,2
Sudan,Eritrea,6
Eswatini,Kenya,2
Tunisia,Madagascar,3
Zambia,Togo,3
Liberia,Nigeria,1
Libya,Chad,3
Eritrea,Sudan,3
Kenya,Eswatini,3
Madagascar,Botswana,3
Namibia,Benin,1
Barbados,Costa Rica,1
Trinidad and Tobago,Canada,2
Congo,Rwanda,2
Guatemala,Barbados,2
El Salvador,Saint Vincent and the Grenadines,2
Lesotho,Angola,2
Bulgaria,Azerbaijan,3
North Macedonia,Azerbaijan,5
Lebanon,Oman,2
Venezuela,Costa Rica,1
Malaysia,Oman,1
Bosnia and Herzegovina,Turkey,2
Slovenia,Czech Republic,1
Iran,Georgia,1
Serbia,Northern Ireland,4
Portugal,Lithuania,4
United States,Barbados,4
Sierra Leone,Togo,1
Iraq,Taiwan,5
Austria,Iran,1
Cyprus,Andorra,5
Sweden,Azerbaijan,3
Belarus,Wales,1
Spain,Bosnia and Herzegovina,6
Czech Republic,Bulgaria,5
Gabon,Morocco,6
Nigeria,Namibia,3
Costa Rica,Barbados,1
Indonesia,Iraq,1
Israel,Liechtenstein,4
Liberia,Mauritius,2
Serbia,Luxembourg,6
Slovakia,North Macedonia,6
Cayman Islands,Turks and Caicos Islands,1
Kenya,Burundi,3
Jordan,Saudi Arabia,3
Burundi,Kenya,2
Belgium,Latvia,2
Slovenia,Luxembourg,4
Slovakia,Moldova,2
Poland,Belarus,2
Switzerland,Faroe Islands,6
Morocco,Kenya,3
Togo,Uganda,5
Republic of Ireland,Estonia,3
Israel,Bosnia and Herzegovina,2
Ukraine,Norway,4
Iran,Lebanon,10
Saudi Arabia,Uzbekistan,7
Japan,Iraq,7
Uganda,Ghana,3
Rwanda,Eritrea,8
Oman,Yemen,8
Rwanda,Zambia,1
Rwanda,Zimbabwe,2
Estonia,Kyrgyzstan,1
Slovakia,Greece,1
Hungary,North Macedonia,2
Romania,Serbia,1
Latvia,San Marino,4
Australia,Scotland,1
Iran,Guam,3
Tajikistan,Guam,1
Ethiopia,Burundi,3
Uganda,Djibouti,4
Algeria,Romania,2
Romania,Algeria,1
Estonia,Hong Kong,1
South Africa,Liberia,2
Catalonia,Lithuania,1
Andalusia,Morocco,1
Basque Country,Morocco,1
Eswatini,Angola,1
Eswatini,Namibia,2
Jordan,Romania,1
Bosnia and Herzegovina,Bangladesh,1
Uzbekistan,Bahrain,5
Burkina Faso,Angola,3
Iceland,India,1
Kenya,Gabon,1
Liberia,Congo,3
Romania,Hong Kong,1
Lesotho,Zimbabwe,1
Chile,Bahrain,1
Serbia,Bangladesh,1
Jordan,Hong Kong,2
Chile,Uzbekistan,1
Israel,Uzbekistan,1
Chile,Iceland,2
Bosnia and Herzegovina,Chile,1
Egypt,North Korea,1
Bulgaria,Mexico,2
Serbia,Bosnia and Herzegovina,3
Algeria,Namibia,4
South Africa,Burkina Faso,5
Angola,Libya,1
Jordan,North Korea,2
Ivory Coast,Madagascar,6
North Korea,Jordan,3
Thailand,Kyrgyzstan,2
Saudi Arabia,Uganda,1
Kyrgyzstan,Singapore,3
Fiji,Malaysia,2
Bahrain,Kyrgyzstan,6
Saint Martin,Montserrat,1
Anguilla,Montserrat,1
Saudi Arabia,Mongolia,2
Malaysia,Fiji,2
Kuwait,Kyrgyzstan,3
Bahrain,Singapore,7
Vietnam,Mongolia,2
Saint Martin,Anguilla,7
Armenia,Uzbekistan,2
Bangladesh,Mongolia,1
Saudi Arabia,Vietnam,4
Israel,Moldova,5
Vietnam,Bangladesh,1
Sweden,China PR,2
Thailand,Qatar,4
Zimbabwe,Burkina Faso,3
Oman,Maldives,9
Lithuania,Cyprus,1
Romania,Ukraine,3
Cyprus,Ukraine,1
Bulgaria,Jordan,1
Uruguay,Slovenia,1
Saint Kitts and Nevis,Dominican Republic,1
Dominican Republic,Antigua and Barbuda,3
Senegal,Namibia,7
Sudan,Sierra Leone,3
Zambia,Libya,2
Palestine,Malaysia,4
Palestine,Hong Kong,2
Honduras,Chile,3
Netherlands,Andorra,6
British Virgin Islands,United States Virgin Islands,3
Croatia,Latvia,6
Faroe Islands,Luxembourg,3
Namibia,Madagascar,2
Czech Republic,Northern Ireland,2
Senegal,Uganda,3
Spain,Liechtenstein,8
Sweden,North Macedonia,3
Angola,Burkina Faso,4
Malaysia,Palestine,1
Oman,United Arab Emirates,7
Republic of Ireland,Andorra,5
Belarus,Norway,2
Ecuador,Brazil,2
Bosnia and Herzegovina,Liechtenstein,9
Sweden,Moldova,9
Sri Lanka,Cambodia,1
Maldives,Cambodia,3
Cuba,Dominica,2
Guyana,Saint Martin,1
Cuba,Saint Martin,1
Grenada,Aruba,2
Guyana,Dominica,4
Martinique,British Virgin Islands,4
Yemen,Brunei,2
Fiji,American Samoa,4
Saint Martin,Dominica,1
Indonesia,Maldives,3
Suriname,Grenada,3
Australia,Tonga,1
Saint Lucia,Guadeloupe,2
Haiti,United States Virgin Islands,4
Australia,American Samoa,1
Fiji,Samoa,4
Guadeloupe,United States Virgin Islands,1
Haiti,Saint Lucia,3
Iraq,Macau,2
Kazakhstan,Nepal,2
United Arab Emirates,Brunei,2
Kazakhstan,Macau,2
Australia,Samoa,1
Nepal,Macau,4
Fiji,Tonga,3
Burkina Faso,Malawi,4
Morocco,Namibia,5
Senegal,Algeria,4
China PR,Maldives,6
Liberia,Sudan,2
Turkmenistan,Jordan,2
Uzbekistan,Taiwan,6
Belize,Nicaragua,4
Georgia,Israel,1
Italy,South Africa,2
Lebanon,Philippines,1
Spain,Japan,1
Jordan,Taiwan,4
Canada,Iran,1
Turkmenistan,Taiwan,3
Bangladesh,Bhutan,9
Oman,Laos,2
Angola,Cameroon,1
Togo,Zambia,5
Oman,Philippines,2
Syria,Laos,2
Yemen,United Arab Emirates,2
India,Brunei,2
Lebanon,Pakistan,3
Lebanon,Sri Lanka,4
Andalusia,Iraq,1
Saint Kitts and Nevis,Suriname,2
Singapore,New Zealand,1
Martinique,Cuba,3
Oman,Syria,9
France,South Korea,2
Japan,Canada,3
Australia,France,1
Croatia,San Marino,3
Denmark,Czech Republic,3
Netherlands,Estonia,5
Japan,Cameroon,3
Nigeria,Madagascar,3
Cameroon,Canada,1
Azerbaijan,Slovakia,2
Vanuatu,Cook Islands,1
Hungary,Georgia,1
Slovenia,Switzerland,2
New Zealand,Cook Islands,1
Australia,Brazil,1
Angola,Mauritius,4
Angola,Burundi,1
Ghana,Lesotho,6
Tunisia,Kenya,5
Bosnia and Herzegovina,Slovakia,3
Slovakia,Malaysia,1
Bosnia and Herzegovina,Bahrain,1
Belize,Cuba,1
Bahrain,Slovakia,1
Paraguay,Serbia,1
Uzbekistan,Bosnia and Herzegovina,1
Greenland,Tibet,1
Japan,Paraguay,5
Ynys Môn,Saare County,3
Jersey,Orkney,3
Isle of Man,Falkland Islands,6
Shetland,Saare County,3
Gibraltar,Orkney,2
Guernsey,Falkland Islands,2
Isle of Wight,Rhodes,1
Guernsey,Isle of Man,6
Saare County,Orkney,1
Greenland,Falkland Islands,2
Rhodes,Isle of Man,1
Gibraltar,Shetland,1
Guernsey,Isle of Wight,2
Falkland Islands,Orkney,1
Gibraltar,Rhodes,2
Monaco,Tibet,1
Togo,Libya,1
Honduras,Bolivia,1
Costa Rica,Bolivia,2
Honduras,Uruguay,1
Malawi,South Africa,1
Honduras,Brazil,1
Qatar,North Macedonia,1
Oman,Iraq,6
Grenada,Jamaica,2
Colombia,Liberia,1
China PR,Trinidad and Tobago,2
Iran,Bosnia and Herzegovina,5
Venezuela,Uruguay,5
Bosnia and Herzegovina,Malta,3
Ukraine,Latvia,2
Georgia,Luxembourg,2
Portugal,Moldova,1
Iran,Slovakia,1
Sweden,South Africa,1
Bahrain,Iraq,3
Mexico,Liberia,1
Uzbekistan,Qatar,9
Georgia,Hungary,1
Iceland,Czech Republic,2
Moldova,Azerbaijan,3
Turkey,Slovakia,4
Slovenia,Russia,2
Serbia,Switzerland,1
Venezuela,Chile,4
Austria,Bosnia and Herzegovina,1
Belarus,Poland,2
Italy,Morocco,1
Uzbekistan,Oman,3
China PR,Uzbekistan,5
Senegal,Japan,2
Norway,Armenia,2
Croatia,Belgium,3
France,Algeria,1
Slovenia,Faroe Islands,3
Oman,Uzbekistan,4
Guinea-Bissau,Benin,1
Venezuela,Paraguay,5
Belgium,Czech Republic,4
Greece,Estonia,3
South Korea,Croatia,2
Slovenia,Romania,3
Russia,Latvia,3
Iran,Republic of Ireland,1
Madagascar,Mayotte,2
Burundi,Uganda,2
Burkina Faso,Senegal,2
Catalonia,Chile,1
Basque Country,Ghana,1
Oman,North Macedonia,1
Zimbabwe,Saudi Arabia,1
Kuwait,Zimbabwe,1
Zimbabwe,Qatar,1
Bahrain,Albania,1
Finland,North Macedonia,3
Oman,Kuwait,9
Morocco,Burkina Faso,8
Senegal,Zambia,4
Costa Rica,South Korea,3
Mali,South Africa,2
Slovakia,Iran,1
Singapore,North Korea,1
Lithuania,Moldova,2
Poland,Faroe Islands,5
Moldova,Jordan,1
Czech Republic,Hungary,1
Honduras,Slovenia,1
Ecuador,Turkey,1
Jordan,Lithuania,1
Malta,Moldova,1
Poland,Northern Ireland,4
Iran,Venezuela,2
United States,Ecuador,4
Mexico,Albania,1
Estonia,Saudi Arabia,1
Papua New Guinea,Tonga,2
New Caledonia,Tonga,4
Papua New Guinea,Samoa,4
New Caledonia,Samoa,3
South Korea,Finland,3
Saudi Arabia,South Africa,1
Japan,Ukraine,1
Austria,Slovakia,1
Belize,Guyana,1
Ecuador,Bulgaria,1
Estonia,Russia,1
Georgia,South Africa,1
Latvia,Luxembourg,6
Hungary,Moldova,4
Finland,Portugal,1
Saudi Arabia,Uruguay,1
Senegal,Bolivia,2
Sri Lanka,Maldives,1
Andorra,Albania,1
Belarus,Hungary,1
Latvia,Kazakhstan,2
North Macedonia,Finland,1
Nigeria,Scotland,1
Serbia,Lithuania,10
Slovenia,Tunisia,1
Turkey,Chile,2
Japan,Slovakia,2
Eswatini,Zimbabwe,1
Ecuador,Serbia,1
Germany,Kuwait,1
South Africa,Madagascar,3
Norway,Japan,1
Slovakia,Uzbekistan,1
Canada,Switzerland,1
Nigeria,Republic of Ireland,2
South Korea,Scotland,1
Denmark,Cameroon,2
Slovenia,Ghana,1
Paraguay,Sweden,1
Ukraine,Serbia,6
Venezuela,Canary Islands,1
Nigeria,Jamaica,2
Malawi,Angola,3
Brazil,Catalonia,2
Belarus,Ukraine,1
South Africa,Scotland,1
Estonia,San Marino,4
Uruguay,Singapore,1
Senegal,Ecuador,3
South Africa,Turkey,1
Portugal,China PR,2
Brazil,Malaysia,1
Belgium,Costa Rica,2
Denmark,Tunisia,1
Senegal,France,1
Mexico,Croatia,2
Italy,Ecuador,1
Costa Rica,China PR,2
South Korea,Poland,1
Spain,Paraguay,2
Brazil,China PR,2
South Africa,Slovenia,1
Japan,Russia,1
Germany,Cameroon,3
Republic of Ireland,Saudi Arabia,1
Paraguay,Slovenia,1
Spain,South Africa,3
Ecuador,Croatia,1
Turkey,China PR,1
South Korea,Portugal,2
Germany,Paraguay,1
Senegal,Sweden,1
Turkey,Japan,1
South Korea,Italy,1
Grenada,British Virgin Islands,1
Turkey,Senegal,1
Bhutan,Montserrat,1
Grenada,Saint Martin,3
Saint Kitts and Nevis,Taiwan,1
Chad,Ethiopia,1
Guyana,Curaçao,5
Uganda,Chad,1
Grenada,Taiwan,1
Curaçao,Guyana,2
Dominican Republic,United States Virgin Islands,3
Estonia,Moldova,3
Slovenia,Italy,2
Turkey,Georgia,3
Iran,Ukraine,1
Jamaica,India,1
Jordan,Iran,4
Iraq,Palestine,12
Czech Republic,Serbia,2
Austria,Moldova,7
Italy,Azerbaijan,4
Romania,Bosnia and Herzegovina,4
Kenya,Togo,3
Germany,Lithuania,1
Niger,Ethiopia,2
Benin,Tanzania,3
Sierra Leone,Equatorial Guinea,4
Senegal,Lesotho,2
Libya,DR Congo,2
Seychelles,Eritrea,1
Switzerland,Georgia,3
Zimbabwe,Mali,2
Algeria,Chad,1
Belgium,Andorra,4
Bulgaria,Croatia,1
Kenya,Cape Verde,3
Czech Republic,Moldova,3
England,Slovakia,5
Ukraine,Greece,2
Burkina Faso,Central African Republic,3
South Africa,Burundi,2
DR Congo,Botswana,2
Estonia,New Zealand,1
Ethiopia,Guinea,1
Gambia,Lesotho,1
Ghana,Rwanda,2
Mali,Seychelles,2
Morocco,Equatorial Guinea,4
Eswatini,Libya,1
Bulgaria,Andorra,2
Belgium,Estonia,9
Germany,Faroe Islands,4
